Pin,Label
PA10,STOP
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,B2
PA6,B3
PA7,LED1
PA9,LED4
PB3,SWO
PB6,LED2
PB8,B1
PB9,RECORD
PC13,B1
PC7,LED3
