Pin,Label
PA1,btnStop
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,btnRec
PA7,LED1
PA8,btn1
PA9,LED_Rec
PB3,SWO
PB4,btn2
PB6,LED2
PB8,btn3
PC13,B1
PC7,LED3
