Port,Pin,Mode,Pull-Type,Speed
GPIOC,GPIO_PIN_13,['INPUT'],['GPIO_NOPULL'],[]
GPIOA,GPIO_PIN_5,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,GPIO_PIN_6,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOA,GPIO_PIN_7,['IT_RISING'],['GPIO_NOPULL'],[]
GPIOC,GPIO_PIN_7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_9,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_3,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_6,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_8,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_9,['IT_RISING'],['GPIO_PULLDOWN'],[]
