Pin,Label
PA10,LED_REC_PA10
PA11,BUTrec_PA11
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,BUT2_PA6
PA7,BUT3_PA7
PA9,LED3_PA9
PB3,SWO
PB6,LED1_PB6
PB8,BUT1_PB8
PB9,BUTstop_PB9
PC13,B1
PC7,LED2_PC7
