Pins Used,Mode,Pull-Type,Speed
PC0,"['IT_FALLING', 'INPUT']","['GPIO_NOPULL', 'GPIO_PULLDOWN']",[]
PC7,"['IT_FALLING', 'INPUT']","['GPIO_NOPULL', 'GPIO_PULLDOWN']",[]
PA6,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PA7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PA8,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
PB5,['INPUT'],['GPIO_PULLDOWN'],[]
PB8,['INPUT'],['GPIO_PULLDOWN'],[]
PB9,['INPUT'],['GPIO_PULLDOWN'],[]
