Pin,Label
WKUP,btn_REC
PA1,btn_1
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PB1,led_D2
PB10,btn_STOP
PB13,led_D5
PB14,led_D4
PB15,led_D3
PB3,SWO
PB4,btn_2
PB5,btn_3
PC13,B1
