Pin,Label
PA10,LEDRec
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,Btn3
PA7,BtnRec
PA9,LED3
PB3,SWO
PB5,Btn2
PB6,LED1
PB8,Btn1
PB9,BtnStop
PC13,B1
PC7,LED2
