Pin,Label
PA10,LEDrec
PA12,LED3
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA8,LED1
PB3,SWO
PB4,B2
PB6,Brec
PB8,Bstop
PB9,B1
PC13,B1
PC7,B3
PC8,LED2
