Port,Pin,Mode,Pull-Type,Speed
GPIOC,GPIO_PIN_13,['INPUT'],['GPIO_NOPULL'],[]
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_8,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOC,S3_Interrupt_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOC,S4_Interrupt_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,S1_Interrupt_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,S5_Interrupt_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,S2_Interrupt_Pin,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_10,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_4,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_5,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
