Pin,Label
PA10,BTN_REC
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,BTN_2
PA7,BTN_3
PA9,LED_REC
PB3,SWO
PB5,LED_3
PB6,LED_2
PB8,BTN_STOP
PB9,BTN_1
PC13,B1
PC7,LED_1
