Pin,Label
PA10,BUT2
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA7,LED2
PA8,BUT1
PA9,BUT3
PB3,SWO
PB6,LED3
PB8,REC
PB9,LED 1
PC13,B1
PC7,REC
