Pin,Label
PA10,LED_1
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,BUTTON_2
PA7,BUTTON_3
PA9,LED_3
PB3,SWO
PB5,LED_REC
PB6,BUTTON_REC
PB8,BUTTON_STOP
PB9,BUTTON_1
PC13,B1
PC7,LED_2
