Pin,Label
PA10,LED REC
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,Button 2
PA7,Button 3
PA9,LED 2
PB3,SWO
PB4,Button REC
PB5,LED 3
PB8,Button Stop
PB9,Button 1
PC13,B1
PC7,LED 1
