Pin,Label
PA10,LED
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA6,Button
PA9,Button
PB3,LED
PB4,LED
PB5,LED
PB8,Button
PB9,Button
PC13,B1
PC7,Button
