Port,Pin,Mode,Pull-Type,Speed
GPIOA,LD2_Pin,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOA,GPIO_PIN_9,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_1,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_2,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_13,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOB,GPIO_PIN_14,['IT_RISING'],['GPIO_PULLDOWN'],[]
GPIOC,GPIO_PIN_7,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
GPIOB,GPIO_PIN_6,['OUTPUT_PP'],['GPIO_NOPULL'],['GPIO_SPEED_FREQ_LOW']
