Pin,Label
PA10,Butt2
PA13,TMS
PA14,TCK
PA2,USART_TX
PA3,USART_RX
PA5,LD2
PA7,LED2
PA8,Butt1
PA9,Butt3
PB3,SWO
PB5,ButtStop
PB6,LED3
PB8,ButtRec
PB9,LED1
PC13,B1
PC7,LEDRec
